0	0.5	4.34	5.76	6.37	7.71	8.39	8.86	9.42	
0.5	1.0	8.43	11.47	12.33	14.82	15.38	17.09	18.15	
1	1.5	12.03	16.43	17.59	20.87	21.93	24.38	26.03	
1.5	2.0	15.64	21.37	22.87	26.97	28.49	31.67	34.02	
2	2.5	19.15	26.36	28.16	33.02	35.21	39.10	41.88	
2.5	3.0	22.46	30.81	32.89	38.94	41.19	46.24	49.35	
3	3.5	25.79	35.29	37.63	44.90	47.18	53.45	56.68	
3.5	4.0	29.10	39.75	42.37	50.80	53.20	60.68	64.13	
4	4.5	32.41	44.09	47.13	56.74	59.15	67.84	71.47	
4.5	5.0	35.71	48.58	51.75	62.65	65.12	74.97	78.80	
